env,n_actions,kappa,n,true_cmi,cmi_mean,cmi_floor,khat_mean,khat_bias,khat_floor
"lean (K=2, 2 uniform contexts)",2,0.0,300,0.0,-5.689101310441563e-05,0.009286026606922704,0.02562605315600655,0.02562605315600655,0.0691352874457752
"lean (K=2, 2 uniform contexts)",2,0.0,1000,0.0,-1.4321018664296561e-05,0.002305071382818084,0.01441277982714622,0.01441277982714622,0.033501104556035964
"lean (K=2, 2 uniform contexts)",2,0.0,3000,0.0,-1.796323926564586e-05,0.000762778938842753,0.008424952929191324,0.008424952929191324,0.019057135407380757
"lean (K=2, 2 uniform contexts)",2,0.0,10000,0.0,4.122525440338769e-06,0.0002716232240845328,0.004739095968312882,0.004739095968312882,0.01182409703386283
"lean (K=2, 2 uniform contexts)",2,0.15,300,0.01629173737681422,0.016813712967351437,0.025432805671261036,0.1385806544440541,-0.011419345555945898,0.12866482959086878
"lean (K=2, 2 uniform contexts)",2,0.15,1000,0.01629173737681422,0.0158675306466309,0.012324618689680454,0.14451051493346787,-0.005489485066532129,0.06022039963612822
"lean (K=2, 2 uniform contexts)",2,0.15,3000,0.01629173737681422,0.016510245100960733,0.007819054808041157,0.14995973342566757,-4.0266574332425975e-05,0.036110120516416835
"lean (K=2, 2 uniform contexts)",2,0.15,10000,0.01629173737681422,0.01646011704372538,0.003772442432500466,0.15046419364393335,0.0004641936439333527,0.017331467408148615
"lean (K=2, 2 uniform contexts)",2,0.3,300,0.06593194462450902,0.06610629448890727,0.050014580599389735,0.29327736542167093,-0.006722634578329056,0.11679093373808819
"lean (K=2, 2 uniform contexts)",2,0.3,1000,0.06593194462450902,0.06657263479936806,0.027035402119620407,0.299779862818232,-0.00022013718176799868,0.061358766844636745
"lean (K=2, 2 uniform contexts)",2,0.3,3000,0.06593194462450902,0.06673163553828862,0.015961288390317494,0.3012034808425176,0.0012034808425175902,0.03620313925145391
"lean (K=2, 2 uniform contexts)",2,0.3,10000,0.06593194462450902,0.06621164688602806,0.008375852808578697,0.30047847766894187,0.00047847766894187904,0.018651729587306126
"lean (K=2, 2 uniform contexts)",2,0.45,300,0.15145182170538438,0.15317320275348123,0.07848776592351492,0.44870544464812484,-0.0012945553518751707,0.10955717873527546
"lean (K=2, 2 uniform contexts)",2,0.45,1000,0.15145182170538438,0.15004427971749223,0.035216796105817946,0.44695938057702633,-0.0030406194229736783,0.05104984971989521
"lean (K=2, 2 uniform contexts)",2,0.45,3000,0.15145182170538438,0.15112369532169556,0.020124257471022103,0.44923752242985515,-0.0007624775701448594,0.02894907410057046
"lean (K=2, 2 uniform contexts)",2,0.45,10000,0.15145182170538438,0.1506081321436689,0.012380201924150055,0.4486907394371471,-0.0013092605628529097,0.017791280417800537
"lean (K=2, 2 uniform contexts)",2,0.6,300,0.27807190511263774,0.2810257239824266,0.09224452292118321,0.6004188999825542,0.00041889998255417726,0.0928725897277371
"lean (K=2, 2 uniform contexts)",2,0.6,1000,0.27807190511263774,0.2797550218739008,0.052390894805915064,0.6009671848655748,0.0009671848655747883,0.0522468323364898
"lean (K=2, 2 uniform contexts)",2,0.6,3000,0.27807190511263774,0.27661092765405637,0.028298292205828884,0.5983230935082724,-0.001676906491727581,0.028518053496463802
"lean (K=2, 2 uniform contexts)",2,0.6,10000,0.27807190511263774,0.27771649494169287,0.015307820023550217,0.5995753018174458,-0.0004246981825541951,0.015305080037003704
"lean (K=2, 2 uniform contexts)",2,0.75,300,0.4564355568004036,0.4597122759326537,0.11673175204921621,0.7504018270559186,0.00040182705591862433,0.08380988199517259
"lean (K=2, 2 uniform contexts)",2,0.75,1000,0.4564355568004036,0.45693570857811366,0.050350976043956025,0.7498945039318228,-0.00010549606817722434,0.035816919833474514
"lean (K=2, 2 uniform contexts)",2,0.75,3000,0.4564355568004036,0.4550095714543052,0.036237690715929,0.7488026595705444,-0.001197340429455629,0.025975442820355077
"lean (K=2, 2 uniform contexts)",2,0.75,10000,0.4564355568004036,0.45690661103091856,0.019036890401390838,0.7502825329145396,0.0002825329145396127,0.01356948281374909
"lean (K=2, 2 uniform contexts)",2,0.9,300,0.7136030428840436,0.7121832342882809,0.1090107636430559,0.8980799887560313,-0.0019200112439686778,0.05112400514825033
"lean (K=2, 2 uniform contexts)",2,0.9,1000,0.7136030428840436,0.7141793089127497,0.05655457643722933,0.8998983099903662,-0.00010169000963378139,0.026536101829088277
"lean (K=2, 2 uniform contexts)",2,0.9,3000,0.7136030428840436,0.7132781284549315,0.03397150483949951,0.8997217253117078,-0.0002782746882922238,0.01595055792213318
"lean (K=2, 2 uniform contexts)",2,0.9,10000,0.7136030428840436,0.7131591995672703,0.017372826319693446,0.8997556659248618,-0.0002443340751382417,0.008182644153756913
"rich (K=8, 3 skewed contexts)",8,0.0,300,0.0,0.17572269586746714,0.09282641214461798,0.21361812777241418,0.21361812777241418,0.06308799917199058
"rich (K=8, 3 skewed contexts)",8,0.0,1000,0.0,0.010104505133732455,0.029672221182776907,0.04069416521911296,0.04069416521911296,0.05136141072740741
"rich (K=8, 3 skewed contexts)",8,0.0,3000,0.0,0.0003490869156016168,0.008804585327390913,0.013060590391442353,0.013060590391442353,0.02351866243897313
"rich (K=8, 3 skewed contexts)",8,0.0,10000,0.0,0.00010774099836866763,0.0022470696225754747,0.006741753333879183,0.006741753333879183,0.01147933997940873
"rich (K=8, 3 skewed contexts)",8,0.15,300,0.09099509447596181,0.26811221825878107,0.10452916775009041,0.2715664566355023,0.12156645663550228,0.05980782944577623
"rich (K=8, 3 skewed contexts)",8,0.15,1000,0.09099509447596181,0.10349619850984276,0.04528698926476976,0.16002236793570282,0.010022367935702825,0.038996008389893824
"rich (K=8, 3 skewed contexts)",8,0.15,3000,0.09099509447596181,0.09191698465132225,0.020616773596184655,0.15059852290027284,0.0005985229002728465,0.018576312342129905
"rich (K=8, 3 skewed contexts)",8,0.15,10000,0.09099509447596181,0.09110279721728114,0.010554870371046333,0.1500412973859326,4.1297385932614894e-05,0.009513267681849569
"rich (K=8, 3 skewed contexts)",8,0.3,300,0.3173278651478344,0.518820768294601,0.1451674675734769,0.3948864031088179,0.09488640310881791,0.06338977816849886
"rich (K=8, 3 skewed contexts)",8,0.3,1000,0.3173278651478344,0.33283138770480636,0.06782547794046218,0.3077251992022943,0.007725199202294308,0.03548650817916027
"rich (K=8, 3 skewed contexts)",8,0.3,3000,0.3173278651478344,0.31865552574827477,0.03973713785754959,0.30058193364296115,0.0005819336429611632,0.021182443689047897
"rich (K=8, 3 skewed contexts)",8,0.3,10000,0.3173278651478344,0.3167169399684758,0.017761440911534754,0.29964278342768397,-0.00035721657231602144,0.009445640670645628
"rich (K=8, 3 skewed contexts)",8,0.45,300,0.6499750765930543,0.8748705382204384,0.179556911302153,0.531358509724408,0.081358509724408,0.06178054379986703
"rich (K=8, 3 skewed contexts)",8,0.45,1000,0.6499750765930543,0.6670242820853423,0.09373092399064131,0.4563348714352902,0.0063348714352902125,0.03633234338278851
"rich (K=8, 3 skewed contexts)",8,0.45,3000,0.6499750765930543,0.6504285671275626,0.05030733334194648,0.45009217749338065,9.217749338064074e-05,0.01974013461884025
"rich (K=8, 3 skewed contexts)",8,0.45,10000,0.6499750765930543,0.6505600912145758,0.032699940230861424,0.45019299897120146,0.00019299897120145237,0.012830059017808426
"rich (K=8, 3 skewed contexts)",8,0.6,300,1.0833577219043475,1.328524239627518,0.20887731140483634,0.6710952958622136,0.07109529586221364,0.05758035201564149
"rich (K=8, 3 skewed contexts)",8,0.6,1000,1.0833577219043475,1.1140459892064591,0.1020425970096085,0.6092012972629712,0.009201297262971253,0.031153140245532673
"rich (K=8, 3 skewed contexts)",8,0.6,3000,1.0833577219043475,1.0850435882624052,0.06428888405006206,0.6004453918522866,0.00044539185228664735,0.01986871026932807
"rich (K=8, 3 skewed contexts)",8,0.6,10000,1.0833577219043475,1.0836340682143495,0.032819987169413256,0.6000627884233869,6.278842338691693e-05,0.010142270475933024
"rich (K=8, 3 skewed contexts)",8,0.75,300,1.6280126482615036,1.8519048438433274,0.19743291500506766,0.8022317465629558,0.052231746562955816,0.04474646341525523
"rich (K=8, 3 skewed contexts)",8,0.75,1000,1.6280126482615036,1.6854654863184866,0.12038685697852658,0.7637829152699506,0.013782915269950569,0.02894288984293608
"rich (K=8, 3 skewed contexts)",8,0.75,3000,1.6280126482615036,1.6332383701877378,0.06315232405552629,0.7512312681491806,0.0012312681491806199,0.015510449423406292
"rich (K=8, 3 skewed contexts)",8,0.75,10000,1.6280126482615036,1.626635141523514,0.03716717970193817,0.7496419613403262,-0.000358038659673765,0.009157313579759685
"rich (K=8, 3 skewed contexts)",8,0.9,300,2.326286815090654,2.5068343542458655,0.15594076673375046,0.9315732307952821,0.03157323079528207,0.02617764475025075
"rich (K=8, 3 skewed contexts)",8,0.9,1000,2.326286815090654,2.4070873719715955,0.11062133504004334,0.9144907874199559,0.014490787419955908,0.019730381214828507
"rich (K=8, 3 skewed contexts)",8,0.9,3000,2.326286815090654,2.3412223768193106,0.05388618322601735,0.9027056155299331,0.002705615529933092,0.009883057689919705
"rich (K=8, 3 skewed contexts)",8,0.9,10000,2.326286815090654,2.3258504146849885,0.031993096187825865,0.899907165578581,-9.28344214190524e-05,0.005913767063952746
