kappa_cc,kappa_link,n,true_naive,true_link,naive_mean,cond_mean,cond_bias,cond_floor
0.0,0.0,300,0.0,0.0,-0.00485474853240208,-0.0049475430134020655,-0.0049475430134020655,0.05601530853533819
0.0,0.0,1000,0.0,0.0,0.001149888276616813,0.0012485751827154316,0.0012485751827154316,0.03174520469743271
0.0,0.0,3000,0.0,0.0,-0.0016469677768351403,-0.0016762004639490802,-0.0016762004639490802,0.01775274150858726
0.0,0.0,10000,0.0,0.0,0.0001666660183557898,0.00016656948259263023,0.00016656948259263023,0.010286764709016318
0.0,0.1,300,0.1,0.1,0.10598222417250323,0.10589771933380449,0.00589771933380448,0.1075903285060275
0.0,0.1,1000,0.1,0.1,0.10293223222796265,0.10291077824180249,0.0029107782418024836,0.05241097263453541
0.0,0.1,3000,0.1,0.1,0.09758594788074576,0.09755986861121169,-0.002440131388788319,0.03038432730062425
0.0,0.1,10000,0.1,0.1,0.09945390960082712,0.09944855300303766,-0.0005514469969623431,0.01561717282286669
0.0,0.2,300,0.19999999999999998,0.2,0.20124177252786768,0.20199224886802497,0.0019922488680249595,0.11214091442456806
0.0,0.2,1000,0.19999999999999998,0.2,0.20235031516621596,0.20227103560827467,0.0022710356082746574,0.05532088698674639
0.0,0.2,3000,0.19999999999999998,0.2,0.20010626668139828,0.20015562733469758,0.00015562733469756673,0.03481272961365858
0.0,0.2,10000,0.19999999999999998,0.2,0.20016735004416572,0.20015152168604122,0.00015152168604121163,0.01809098768781936
0.0,0.3,300,0.29999999999999993,0.3,0.30711562285652805,0.30667828616090953,0.006678286160909541,0.12688315879221224
0.0,0.3,1000,0.29999999999999993,0.3,0.2982876355886113,0.2984265424813454,-0.001573457518654564,0.06745653898836196
0.0,0.3,3000,0.29999999999999993,0.3,0.30066875618665095,0.3006771110101838,0.0006771110101838063,0.03915832824367199
0.0,0.3,10000,0.29999999999999993,0.3,0.3004307371014946,0.3004347918515294,0.0004347918515293925,0.020671337722640848
0.1,0.0,300,0.01333333333333335,0.0,0.016187029917729228,0.001447103201017008,0.001447103201017008,0.076180932071245
0.1,0.0,1000,0.01333333333333335,0.0,0.014559800242020646,0.0010635571004860666,0.0010635571004860666,0.04084045032954976
0.1,0.0,3000,0.01333333333333335,0.0,0.011681328276466228,-0.0014353226278775654,-0.0014353226278775654,0.022662004532368767
0.1,0.0,10000,0.01333333333333335,0.0,0.012658940140901942,-0.0007368212894461008,-0.0007368212894461008,0.011761198036098909
0.1,0.1,300,0.11333333333333334,0.1,0.11706188268216915,0.10370769074806979,0.0037076907480697863,0.09003379846834439
0.1,0.1,1000,0.11333333333333334,0.1,0.11046766094559293,0.09658299187017942,-0.003417008129820584,0.05911451985528636
0.1,0.1,3000,0.11333333333333334,0.1,0.11391991992407803,0.10098463540688997,0.0009846354068899638,0.032133159940392134
0.1,0.1,10000,0.11333333333333334,0.1,0.11403976020454706,0.10052745273955249,0.0005274527395524864,0.015212581647556518
0.1,0.2,300,0.21333333333333332,0.2,0.2123421022625066,0.19920717204014476,-0.0007928279598552468,0.1078836052348268
0.1,0.2,1000,0.21333333333333332,0.2,0.2141874975734264,0.20147540271747222,0.0014754027174722073,0.05821091839310523
0.1,0.2,3000,0.21333333333333332,0.2,0.21273756759912746,0.1993782064467542,-0.0006217935532458196,0.036398399119009536
0.1,0.2,10000,0.21333333333333332,0.2,0.21397462064354916,0.20054868202114423,0.00054868202114422,0.019024340016241176
0.1,0.3,300,0.31333333333333335,0.3,0.309534072934925,0.29618505021207525,-0.0038149497879247374,0.11738478663728086
0.1,0.3,1000,0.31333333333333335,0.3,0.313207905187274,0.2997935852666838,-0.00020641473331617366,0.0636002634882187
0.1,0.3,3000,0.31333333333333335,0.3,0.31231230558916273,0.29842487221618613,-0.0015751277838138567,0.03473516608228272
0.1,0.3,10000,0.31333333333333335,0.3,0.3138431755220514,0.300611342593718,0.0006113425937180339,0.017059858428579794
0.2,0.0,300,0.04761904761904759,0.0,0.04044896106113196,-0.005443837745076297,-0.005443837745076297,0.08202758073539196
0.2,0.0,1000,0.04761904761904759,0.0,0.04742053865435524,-0.000381855866055673,-0.000381855866055673,0.045866744240693674
0.2,0.0,3000,0.04761904761904759,0.0,0.04933373205977945,0.0008005691943696027,0.0008005691943696027,0.023401734871477262
0.2,0.0,10000,0.04761904761904759,0.0,0.046466434711362366,-0.0012787112432701426,-0.0012787112432701426,0.013168416380094833
0.2,0.1,300,0.14761904761904765,0.1,0.14714107762156595,0.09783966312042178,-0.0021603368795782285,0.09495262581894706
0.2,0.1,1000,0.14761904761904765,0.1,0.14656939260784388,0.09969293711780913,-0.00030706288219087274,0.05771111920748209
0.2,0.1,3000,0.14761904761904765,0.1,0.14594876424830858,0.09882801508627415,-0.0011719849137258598,0.030901449837322417
0.2,0.1,10000,0.14761904761904765,0.1,0.14622465846375768,0.09881753036854451,-0.0011824696314554906,0.015110907698730448
0.2,0.2,300,0.24761904761904763,0.2,0.2492855075770104,0.20394025406658797,0.0039402540665879615,0.11511365908336932
0.2,0.2,1000,0.24761904761904763,0.2,0.2479915976192597,0.2011447714046057,0.001144771404605699,0.054757120493812234
0.2,0.2,3000,0.24761904761904763,0.2,0.24694608174511973,0.19972745035806155,-0.00027254964193845765,0.03788613713363195
0.2,0.2,10000,0.24761904761904763,0.2,0.24724806364673368,0.19943985617335994,-0.0005601438266400749,0.018708248399583002
0.2,0.3,300,0.3476190476190476,0.3,0.35463164676551245,0.30685143775495993,0.006851437754959944,0.1122605254186518
0.2,0.3,1000,0.3476190476190476,0.3,0.34624547236143954,0.298503574025967,-0.0014964259740329888,0.06388347398494816
0.2,0.3,3000,0.3476190476190476,0.3,0.3490815188607704,0.3007478078495924,0.0007478078495923857,0.034977328490968684
0.2,0.3,10000,0.3476190476190476,0.3,0.34768976589018763,0.3004029295706093,0.0004029295706093339,0.01999825676768968
0.3,0.0,300,0.09890109890109891,0.0,0.10159123613354672,0.002595355368700512,0.002595355368700512,0.08611662790382238
0.3,0.0,1000,0.09890109890109891,0.0,0.09797011435866188,-0.00035320482826678326,-0.00035320482826678326,0.043500853046747695
0.3,0.0,3000,0.09890109890109891,0.0,0.09930425216326778,0.00016870946775150264,0.00016870946775150264,0.026430466452426325
0.3,0.0,10000,0.09890109890109891,0.0,0.09908358017745286,0.00017555518084719384,0.00017555518084719384,0.015191880188744587
0.3,0.1,300,0.1989010989010989,0.1,0.19901765557532816,0.10303464694838152,0.003034646948381514,0.11021816383238658
0.3,0.1,1000,0.1989010989010989,0.1,0.19443262118392568,0.09709498200092584,-0.0029050179990741665,0.05330513529725059
0.3,0.1,3000,0.1989010989010989,0.1,0.19594469726582617,0.09697247223616326,-0.003027527763836746,0.03739091105105338
0.3,0.1,10000,0.1989010989010989,0.1,0.19961229152284196,0.10037730710436593,0.00037730710436592596,0.018714786708244273
0.3,0.2,300,0.29890109890109895,0.2,0.3012530645779305,0.20240804948140984,0.002408049481409824,0.107193690665009
0.3,0.2,1000,0.29890109890109895,0.2,0.299351905095648,0.19916743856000899,-0.0008325614399910253,0.058009406827058616
0.3,0.2,3000,0.29890109890109895,0.2,0.2975604384365762,0.19782680664107943,-0.0021731933589205776,0.036896802658763245
0.3,0.2,10000,0.29890109890109895,0.2,0.2983502195125831,0.19937057527098248,-0.0006294247290175303,0.01803810945360737
0.3,0.3,300,0.3989010989010989,0.3,0.4005094105542014,0.30169578320227,0.0016957832022699848,0.12265825348966988
0.3,0.3,1000,0.3989010989010989,0.3,0.3986946993823572,0.2994064031274984,-0.0005935968725016005,0.058101448142597586
0.3,0.3,3000,0.3989010989010989,0.3,0.39836796589971935,0.29898768720227764,-0.0010123127977223478,0.03685376844004784
0.3,0.3,10000,0.3989010989010989,0.3,0.3987163767095005,0.30005666714353024,5.666714353025348e-05,0.020408290107597593
